Job Date,Waste Desc,Bin Qty,Tonnage
27/05/2019,Dry Mixed Recyclate,3,0.06
27/05/2019,General Waste,8,1.494
27/05/2019,General Waste,3,0.434
27/05/2019,Kitchen/Canteen Wast,4,0.18
27/05/2019,Glass,1,0.01
28/05/2019,Dry Mixed Recyclate,3,0.12
28/05/2019,General Waste,3,0.11
28/05/2019,General Waste,8,0.28
29/05/2019,Dry Mixed Recyclate,3,0.153
29/05/2019,General Waste,3,0.322
29/05/2019,General Waste,8,0.763
30/05/2019,Dry Mixed Recyclate,3,0.06
30/05/2019,General Waste,3,0.293
30/05/2019,General Waste,8,0.691
31/05/2019,Dry Mixed Recyclate,3,0.09
31/05/2019,General Waste,8,0.2
31/05/2019,General Waste,3,0.05
01/06/2019,Dry Mixed Recyclate,3,0.162
01/06/2019,General Waste,3,0.47
01/06/2019,General Waste,8,1.143
03/06/2019,Dry Mixed Recyclate,3,0.03
03/06/2019,General Waste,3,0.405
03/06/2019,General Waste,8,0.791
03/06/2019,Kitchen/Canteen Wast,4,0.2
03/06/2019,Glass,1,0.01
04/06/2019,Dry Mixed Recyclate,3,0.12
04/06/2019,General Waste,3,0.18
04/06/2019,General Waste,8,0.48
05/06/2019,Dry Mixed Recyclate,3,0.05
05/06/2019,General Waste,3,0.364
05/06/2019,General Waste,8,0.579
06/06/2019,Dry Mixed Recyclate,3,0.035
06/06/2019,General Waste,3,0.31
06/06/2019,General Waste,8,0.455
07/06/2019,Dry Mixed Recyclate,3,0.06
07/06/2019,General Waste,8,0.27
07/06/2019,General Waste,3,0.088
08/06/2019,Dry Mixed Recyclate,3,0.127
08/06/2019,General Waste,3,0.255
08/06/2019,General Waste,8,0.92
10/06/2019,Dry Mixed Recyclate,3,0.038
10/06/2019,General Waste,8,1.139
10/06/2019,General Waste,3,0.298
10/06/2019,Kitchen/Canteen Wast,4,0.12
10/06/2019,Glass,1,0.01
11/06/2019,Dry Mixed Recyclate,3,0.08
11/06/2019,General Waste,8,0.29
11/06/2019,General Waste,3,0.13
12/06/2019,Dry Mixed Recyclate,3,0.066
12/06/2019,General Waste,3,0.281
12/06/2019,General Waste,8,0.582
13/06/2019,Dry Mixed Recyclate,3,0.054
13/06/2019,General Waste,3,0.089
13/06/2019,General Waste,8,0.886
14/06/2019,Dry Mixed Recyclate,3,0.13
14/06/2019,General Waste,8,0.21
14/06/2019,General Waste,3,0.08
15/06/2019,Dry Mixed Recyclate,3,0.093
15/06/2019,General Waste,3,0.136
15/06/2019,General Waste,8,0.505
17/06/2019,Dry Mixed Recyclate,3,0.044
17/06/2019,General Waste,3,0.068
17/06/2019,General Waste,8,1.07
17/06/2019,Kitchen/Canteen Wast,4,0.08
17/06/2019,Glass,1,0.01
18/06/2019,Dry Mixed Recyclate,3,0.03
18/06/2019,General Waste,3,0.18
18/06/2019,General Waste,8,0.48
19/06/2019,Dry Mixed Recyclate,3,0.035
19/06/2019,General Waste,3,0.277
19/06/2019,General Waste,8,0.493
20/06/2019,Dry Mixed Recyclate,3,0.028
20/06/2019,General Waste,8,0.574
20/06/2019,General Waste,3,0.251
21/06/2019,Dry Mixed Recyclate,3,0.08
21/06/2019,General Waste,8,0.467
21/06/2019,General Waste,3,0.199
22/06/2019,Dry Mixed Recyclate,3,0.39
22/06/2019,General Waste,3,0.33
22/06/2019,General Waste,8,0.541
24/06/2019,Dry Mixed Recyclate,3,0.221
24/06/2019,General Waste,8,0.555
24/06/2019,General Waste,3,0.43
24/06/2019,Kitchen/Canteen Wast,4,0.1
24/06/2019,Glass,1,0.04
25/06/2019,Dry Mixed Recyclate,3,0.275
25/06/2019,General Waste,8,0.718
25/06/2019,General Waste,3,0.26
26/06/2019,Dry Mixed Recyclate,3,0.122
26/06/2019,General Waste,3,0.391
26/06/2019,General Waste,8,1.209
27/06/2019,Dry Mixed Recyclate,3,0.155
27/06/2019,General Waste,3,0.35
27/06/2019,General Waste,8,0.78
28/06/2019,Dry Mixed Recyclate,3,0.164
28/06/2019,General Waste,8,0.884
28/06/2019,General Waste,3,0.333
29/06/2019,Dry Mixed Recyclate,3,0.104
29/06/2019,General Waste,3,0.128
29/06/2019,General Waste,8,0.568
01/07/2019,Dry Mixed Recyclate,3,0
01/07/2019,General Waste,3,0
01/07/2019,General Waste,8,0
01/07/2019,Kitchen/Canteen Wast,3,0.12
01/07/2019,Glass,1,0
02/07/2019,Dry Mixed Recyclate,3,0
02/07/2019,General Waste,3,0
02/07/2019,General Waste,8,0
03/07/2019,Dry Mixed Recyclate,3,0.103
03/07/2019,General Waste,3,0.168
03/07/2019,General Waste,8,0.69
04/07/2019,Dry Mixed Recyclate,3,0.145
04/07/2019,General Waste,3,0.456
04/07/2019,General Waste,8,0.641
05/07/2019,Dry Mixed Recyclate,3,0.13
05/07/2019,General Waste,8,0.46
05/07/2019,General Waste,3,0.15
06/07/2019,Dry Mixed Recyclate,3,0.048
06/07/2019,General Waste,3,0.339
06/07/2019,General Waste,8,0.626
08/07/2019,Dry Mixed Recyclate,3,0.075
08/07/2019,General Waste,8,1.304
08/07/2019,General Waste,3,0.066
08/07/2019,Kitchen/Canteen Wast,4,0.05
08/07/2019,Glass,1,0.025
09/07/2019,Dry Mixed Recyclate,3,0.15
09/07/2019,General Waste,8,0.755
09/07/2019,General Waste,3,0.3
10/07/2019,Dry Mixed Recyclate,3,0.068
10/07/2019,General Waste,3,0.135
10/07/2019,General Waste,8,0.869
11/07/2019,Dry Mixed Recyclate,3,0.055
11/07/2019,General Waste,3,0.138
11/07/2019,General Waste,8,0.632
12/07/2019,Dry Mixed Recyclate,3,0.107
12/07/2019,General Waste,8,0.607
12/07/2019,General Waste,3,0.142
13/07/2019,Dry Mixed Recyclate,3,0.076
13/07/2019,General Waste,3,0.154
13/07/2019,General Waste,8,0.623
15/07/2019,Dry Mixed Recyclate,3,0.055
15/07/2019,General Waste,3,0.06
15/07/2019,General Waste,8,1.25
15/07/2019,Kitchen/Canteen Wast,4,0.08
15/07/2019,Glass,1,0.01
16/07/2019,Dry Mixed Recyclate,3,0.24
16/07/2019,General Waste,3,0.24
16/07/2019,General Waste,8,0.695
17/07/2019,Dry Mixed Recyclate,3,0.1
17/07/2019,General Waste,3,0.05
17/07/2019,General Waste,8,0.841
18/07/2019,Dry Mixed Recyclate,3,0.04
18/07/2019,General Waste,3,0.19
18/07/2019,General Waste,8,0.787
19/07/2019,Dry Mixed Recyclate,3,0.135
19/07/2019,General Waste,8,0.36
19/07/2019,General Waste,3,0.135
20/07/2019,Dry Mixed Recyclate,3,0.14
20/07/2019,General Waste,3,0.28
20/07/2019,General Waste,8,0.7
22/07/2019,Dry Mixed Recyclate,3,0.065
